season,match_id,venue,city,innings_id,fullName,overs,maidens,conceded,wickets,dots,foursConceded,sixesConceded,wides,noballs
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,2,Hrithik Shokeen,1,0,17,0,0,0,2,0,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Kyle Mayers,2,0,16,0,1,1,0,1,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Avesh Khan,3,0,39,1,4,6,0,1,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Krunal Pandya,2,0,21,0,4,1,2,0,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Krishnappa Gowtham,1,0,20,0,2,0,3,0,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Mark Wood,4,0,49,3,9,3,5,0,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Yash Thakur,4,0,36,0,4,3,1,0,1
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,Ravi Bishnoi,4,0,28,3,13,1,2,1,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,Deepak Chahar,4,0,55,0,6,7,1,5,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,Ben Stokes,1,0,18,0,0,2,1,0,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,Tushar Deshpande,4,0,45,2,7,2,2,4,3
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,Moeen Ali,4,0,26,4,10,0,1,1,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,Mitchell Santner,4,0,21,1,9,0,1,0,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,Rajvardhan Hangargekar,2,0,24,0,4,2,1,3,0
2023,1359480,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,Ravindra Jadeja,1,0,14,0,2,0,2,0,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,1,Mohammed Shami,4,0,41,3,15,5,1,4,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,1,Josh Little,4,0,27,0,11,2,1,0,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,1,Hardik Pandya,3,0,18,0,6,2,0,0,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,1,Alzarri Joseph,4,0,29,2,13,3,1,1,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,1,Yash Dayal,1,0,12,0,0,0,1,0,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,1,Rashid Khan,4,0,31,3,9,2,2,0,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,2,Khaleel Ahmed,4,0,38,1,9,5,1,1,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,2,Mukesh Kumar,4,0,42,0,8,5,2,1,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,2,Anrich Nortje,4,0,39,2,9,3,2,0,2
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,2,Mitchell Marsh,3.1,0,24,1,4,1,0,1,0
2023,1359481,"Arun Jaitley Stadium, Delhi",Delhi,2,Kuldeep Yadav,3,0,18,0,5,1,0,1,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Trent Boult,4,0,38,0,8,3,2,1,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,KM Asif,4,0,54,0,7,5,3,3,1
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Ravichandran Ashwin,4,0,25,1,7,2,0,1,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Jason Holder,4,0,29,2,7,2,1,0,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Yuzvendra Chahal,4,0,50,1,5,7,1,1,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Sam Curran,4,0,44,0,7,3,3,0,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Arshdeep Singh,4,0,47,2,10,4,3,3,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Harpreet Brar,2,0,15,0,5,2,0,0,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Nathan Ellis,4,0,30,4,11,2,2,0,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Rahul Chahar,4,0,31,0,5,1,1,0,0
2023,1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Sikandar Raza,2,0,24,0,2,1,1,2,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,1,Mohammed Siraj,4,0,44,1,13,6,1,3,1
2023,1359483,"Eden Gardens, Kolkata",Kolkata,1,David Willey,4,1,16,2,15,2,0,1,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,1,Akash Deep,2,0,30,0,4,2,2,1,2
2023,1359483,"Eden Gardens, Kolkata",Kolkata,1,Michael Bracewell,3,0,34,1,3,1,3,0,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,1,Shahbaz Ahmed,1,0,6,0,3,1,0,0,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,1,Karn Sharma,3,0,26,2,6,2,1,0,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,1,Harshal Patel,3,0,38,1,5,4,2,1,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,2,Umesh Yadav,2,0,17,0,5,3,0,0,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,2,Tim Southee,2,0,25,0,5,2,2,0,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,2,Sunil Narine,4,0,16,2,12,1,0,0,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,2,Varun Chakravarthy,3.4,0,15,4,13,2,0,0,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,2,Suyash Sharma,4,0,30,3,11,2,2,1,0
2023,1359483,"Eden Gardens, Kolkata",Kolkata,2,Shardul Thakur,2,0,15,1,4,2,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,Kyle Mayers,1,0,5,0,1,0,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,Jaydev Unadkat,3,0,26,0,9,0,3,1,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,Krunal Pandya,4,0,18,3,15,3,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,Yash Thakur,3,0,23,1,6,3,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,Ravi Bishnoi,4,0,16,1,10,0,0,1,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,Deepak Hooda,1,0,8,0,1,1,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,Amit Mishra,4,0,23,2,10,3,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,Bhuvneshwar Kumar,2,0,19,1,7,1,1,1,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,Washington Sundar,1,0,11,0,1,2,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,Fazalhaq Farooqi,3,0,13,1,12,2,0,1,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,Aiden Markram,2,0,14,0,5,2,0,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,Adil Rashid,3,0,23,2,8,2,1,0,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,T Natarajan,3,0,23,0,7,1,1,1,0
2023,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,Umran Malik,2,0,22,1,7,3,0,2,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Khaleel Ahmed,2,0,31,0,3,6,0,2,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Anrich Nortje,4,0,44,0,10,6,2,0,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Mukesh Kumar,4,0,36,2,8,3,2,0,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Axar Patel,4,0,38,0,6,5,1,0,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Kuldeep Yadav,4,0,31,1,8,2,1,0,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,Rovman Powell,2,0,18,1,4,1,1,1,1
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Trent Boult,4,1,29,3,11,5,0,0,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Sandeep Sharma,4,0,20,1,11,2,0,1,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Ravichandran Ashwin,4,0,25,2,10,2,0,3,0
2023,1359485,"Barsapara Cricket Stadium, Guwahati",Guwahati,2,Jason Holder,3,0,28,0,4,4,0,1,0
